,CV (Train),Test (Blind)
RandomForest,"{'Accuracy': 0.8841961852861036, 'Precision': 0.8706697459584296, 'Recall': 0.9285714285714286, 'Specificity': 0.8292682926829268, 'F1-Score': 0.8986889153754469, 'Kappa': 0.763879953071188, 'G-Mean': 0.8775162922735822, 'ROC-AUC': 0.9675973206776401}","{'Accuracy': 0.8641304347826086, 'Precision': 0.8598130841121495, 'Recall': 0.9019607843137255, 'Specificity': 0.8170731707317073, 'F1-Score': 0.8803827751196173, 'Kappa': 0.7233581910031273, 'G-Mean': 0.85846837910017, 'ROC-AUC': 0.9220468675274989}"
LogisticRegression,"{'Accuracy': 0.8501362397820164, 'Precision': 0.8490566037735849, 'Recall': 0.8866995073891626, 'Specificity': 0.8048780487804879, 'F1-Score': 0.8674698795180723, 'Kappa': 0.6952425528060031, 'G-Mean': 0.8447987744794667, 'ROC-AUC': 0.9255076294605311}","{'Accuracy': 0.8913043478260869, 'Precision': 0.8942307692307693, 'Recall': 0.9117647058823529, 'Specificity': 0.8658536585365854, 'F1-Score': 0.9029126213592233, 'Kappa': 0.7794822627037392, 'G-Mean': 0.8885126933886589, 'ROC-AUC': 0.928024868483979}"
