Feature,Coefficient,Odds_Ratio,CI_Lower,CI_Upper,P_Value
ST_Slope_Flat,2.451426659325816,11.604891140961788,6.81466212577503,19.762314830576727,1.7893348984021347e-19
ChestPainType_NAP,-1.8221086357311151,0.16168445760421465,0.09052360853936704,0.2887850390917688,7.41472214200693e-10
ChestPainType_ATA,-1.7721167655085137,0.16997281516577736,0.08481158535008115,0.3406463607079816,5.851679990684986e-07
Sex,1.4339762802212186,4.195347948996394,2.2819503408985806,7.713114565945109,3.922971530538503e-06
FastingBS,1.3067117624824243,3.694006947332192,2.029118532193385,6.724933566196418,1.9126402456885214e-05
ChestPainType_TA,-1.4823966936769597,0.22709276384486757,0.09293298103294861,0.5549281085949096,0.0011466498425843435
ExerciseAngina,0.836635474341034,2.3085865966359598,1.3651558761436018,3.904002588497507,0.0018011523973812083
ST_Slope_Down,1.5707883746849842,4.810439127672584,1.621795150387475,14.268339990728638,0.004631332772490366
MaxHR,-0.2791882942825148,0.7563974644873975,0.576554013230856,0.9923391584369675,0.04385426473716627
Oldpeak,0.23634902545010789,1.2666163143562694,0.9660652361178619,1.660671378923038,0.08723662452260625
RestingECG_LVH,0.22619290243458362,1.2538175064010746,0.6902549071844228,2.2775040394429027,0.4576412100333025
Age,0.06857470513349358,1.0709806297134707,0.8176846693606694,1.4027406311998942,0.6184395020795102
Cholesterol,0.04123821725633357,1.0421003222591465,0.8233639107077964,1.3189466620161565,0.7315465360452631
RestingBP,-0.021956945959127484,0.9782823531529438,0.7723071278922639,1.239191414822688,0.8555591371126259
RestingECG_ST,0.015078017974878056,1.0151922647707703,0.5404652782786525,1.9069038768463533,0.9626100261533885
